present time,present thrust,present mass,present acceleration x,present acceleration y,present speed x,present speed y,present flight angle,present pitch angle,present degree position,present height,present downrange distance,present position x,present position y,pitch angle,next time,next thrust,next mass,next acceleration x,next acceleration y,next speed x,next speed y,next flight angle,next pitch angle,next degree position,next height,next downrange distance,next position x,next position y
0, 0.0, 5590000.0, 0.0, -9.820285850027597, 464.5661331075993, 0.0, 1.5707963267948966, 1.5707963267948966, 1.5707963267948966, 0.0, 0.0, 3.901112378683894e-10, 6371000.0, 1.5707963267948966, 0.1, 77403934.42622952, 5587606.557377049, -9.557185620365653e-16, 4.032503109144345, 464.5661331075993, 0.40325031091443453, 0.000868014650445456, 1.5707963267948966, 1.5707890349077491, 0.0404944084584713, 46.456613016285786, 46.45661331115004, 6371000.040325031
0.1, 77403934.42622952, 5587606.557377049, -9.557185620365653e-16, 4.032503109144345, 464.5661331075993, 0.40325031091443453, 0.000868014650445456, 1.5707963267948966, 1.5707890349077491, 0.0404944084584713, 46.456613016285786, 46.45661331115004, 6371000.040325031, 1.5707963267948966, 0.2, 77403934.42622952, 5585213.1147540985, 2.915628469052883e-05, 4.038439597168287, 464.5661360232277, 0.8070942706312632, 0.0017445977216639882, 1.5707963267948966, 1.5707817430207416, 0.12171197030693293, 92.91322514134448, 92.91322691347281, 6371000.121034457
0.2, 77403934.42622952, 5585213.1147540985, 2.915628469052883e-05, 4.038439597168287, 464.5661360232277, 0.8070942706312632, 0.0017445977216639882, 1.5707963267948966, 1.5707817430207416, 0.12171197030693293, 92.91322514134448, 92.91322691347281, 6371000.121034457, 1.5707963267948966, 0.30000000000000004, 77403934.42622952, 5582819.672131147, 5.781382139243788e-05, 4.0443812990195, 464.56614180460986, 1.2115324005332133, 0.0026224571100818567, 1.5707963267948966, 1.5707744511339683, 0.24371210113167763, 139.36983577395145, 139.36984109393381, 6371000.242187697
0.30000000000000004, 77403934.42622952, 5582819.672131147, 5.781382139243788e-05, 4.0443812990195, 464.56614180460986, 1.2115324005332133, 0.0026224571100818567, 1.5707963267948966, 1.5707744511339683, 0.24371210113167763, 139.36983577395145, 139.36984109393381, 6371000.242187697, 1.5707963267948966, 0.4, 77403934.42622952, 5580426.229508197, 8.5969311476703e-05, 4.0503282198905985, 464.566150401541, 1.616565222522273, 0.003501592589143683, 1.5707963267948966, 1.5707671592475254, 0.4065542705357075, 185.82644430156492, 185.82645613408792, 6371000.40384422
0.4, 77403934.42622952, 5580426.229508197, 8.5969311476703e-05, 4.0503282198905985, 464.566150401541, 1.616565222522273, 0.003501592589143683, 1.5707963267948966, 1.5707671592475254, 0.4065542705357075, 185.82644430156492, 185.82645613408792, 6371000.40384422, 1.5707963267948966, 0.5, 77403934.42622952, 5578032.786885246, 0.00011361946206908419, 4.056280364969224, 464.5661617634872, 2.0221932590191956, 0.004382003922073866, 1.5707963267948966, 1.5707598673615093, 0.6102979993447661, 232.28305011022843, 232.28307231043664, 6371000.606063546
0.5, 77403934.42622952, 5578032.786885246, 0.00011361946206908419, 4.056280364969224, 464.5661617634872, 2.0221932590191956, 0.004382003922073866, 1.5707963267948966, 1.5707598673615093, 0.6102979993447661, 232.28305011022843, 232.28307231043664, 6371000.606063546, 1.5707963267948966, 0.6, 77403934.42622952, 5575639.344262295, 0.00014076098621224964, 4.062237739438016, 464.5661758395858, 2.4284170329629973, 0.005263690861834294, 1.5707963267948966, 1.5707525754760179, 0.8550028633326292, 278.739652576083, 278.7396898943952, 6371000.848905249
0.6, 77403934.42622952, 5575639.344262295, 0.00014076098621224964, 4.062237739438016, 464.5661758395858, 2.4284170329629973, 0.005263690861834294, 1.5707963267948966, 1.5707525754760179, 0.8550028633326292, 278.739652576083, 278.7396898943952, 6371000.848905249, 1.5707963267948966, 0.7, 77403934.42622952, 5573245.901639344, 0.00016739060302393657, 4.068200348474651, 464.5661925786461, 2.8352370678104624, 0.006146653151079225, 1.5707963267948966, 1.5707452835911504, 1.1407284857705235, 325.1962510667818, 325.1963091522598, 6371001.132428955
0.7, 77403934.42622952, 5573245.901639344, 0.00016739060302393657, 4.068200348474651, 464.5661925786461, 2.8352370678104624, 0.006146653151079225, 1.5707963267948966, 1.5707452835911504, 1.1407284857705235, 325.1962510667818, 325.1963091522598, 6371001.132428955, 1.5707963267948966, 0.7999999999999999, 77403934.42622952, 5570852.459016394, 0.0001935050379117348, 4.074168197251781, 464.5662119291499, 3.2426538875356403, 0.007030890522111741, 1.5707963267948966, 1.5707379917070066, 1.467534546740353, 371.65284494714876, 371.6529303451748, 6371001.456694344
0.7999999999999999, 77403934.42622952, 5570852.459016394, 0.0001935050379117348, 4.074168197251781, 464.5662119291499, 3.2426538875356403, 0.007030890522111741, 1.5707963267948966, 1.5707379917070066, 1.467534546740353, 371.65284494714876, 371.6529303451748, 6371001.456694344, 1.5707963267948966, 0.8999999999999999, 77403934.42622952, 5568459.016393443, 0.00021910102271883352, 4.080141290937123, 464.56623383925216, 3.6506680166293526, 0.007916402696840925, 1.5707963267948966, 1.5707306998236876, 1.8354807766154408, 418.10943357210516, 418.1095537291, 6371001.821761145
0.8999999999999999, 77403934.42622952, 5568459.016393443, 0.00021910102271883352, 4.080141290937123, 464.56623383925216, 3.6506680166293526, 0.007916402696840925, 1.5707963267948966, 1.5707306998236876, 1.8354807766154408, 418.10943357210516, 418.1095537291, 6371001.821761145, 1.5707963267948966, 0.9999999999999999, 77403934.42622952, 5566065.573770491, 0.0002441752959119151, 4.08611963469337, 464.56625825678174, 4.059279980098689, 0.008803189386737065, 1.5707963267948966, 1.5707234079412957, 2.244626959785819, 464.56601629091375, 464.56617955477816, 6371002.227689143
